Incident_ID,schoolaffiliation,age_cat,shooterdied,City_Lat,City_Lon
19700105DCHIW,Student,Teen,No,38.8950368,-77.0365427
19700105DCSOW,Student,,No,38.8950368,-77.0365427
19700105DCUNW,Student,,No,38.8950368,-77.0365427
19700206OHJOC,Student,Teen,No,41.4996574,-81.6936772
19700323CADAL,Student,Teen,No,33.7690164,-118.191604
19700323CADAL,Police Officer/SRO,Adult,No,33.7690164,-118.191604
19700415ARPIP,No Relation,Teen,No,34.2157064,-92.0140402
19700415ARPIP,No Relation,Teen,No,34.2157064,-92.0140402
19700415ARPIP,No Relation,Adult,No,34.2157064,-92.0140402
19700415ARPIP,No Relation,Adult,No,34.2157064,-92.0140402
19700415ARPIP,No Relation,Adult,No,34.2157064,-92.0140402
19700415ARPIP,No Relation,Adult,No,34.2157064,-92.0140402
19700415ARPIP,No Relation,Adult,No,34.2157064,-92.0140402
19700415ARPIP,No Relation,Adult,No,34.2157064,-92.0140402
19700422DEPIW,Student,Teen,No,39.7459468,-75.546589
19700508FLCAD,Student,Teen,No,26.4614625,-80.0728201
19700515UTBEO,Student,Teen,No,41.2230048,-111.9738429
19700828TXRIE,Student,Teen,No,31.7328638,-106.3728033
19700828TXRIE,Student,Teen,No,31.7328638,-106.3728033
19700831FLALM,No Relation,Adult,No,25.7741728,-80.19362
19700914TNHAN,Student,Teen,No,36.095567,-86.8011251
19700924IDMEM,Unknown,,No,43.6086295,-116.392326
19700928IACED,Student,Teen,No,41.5235808,-90.5770967
19701005MIPOD,Student,Teen,No,42.3315509,-83.0466403
19701019TNBOM,Student,Teen,No,35.1185491,-89.904645
19701020TNWAN,Student,Teen,No,36.095567,-86.8011251
19701027OHAPM,Student,Teen,No,40.75839,-82.5154471
19701120ILHAC,Student,Teen,No,,
19701212WIXAA,Police Officer/SRO,Adult,No,44.2496103,-88.433855
19710202PAMOP,Student,Teen,No,39.9527237,-75.1635262
19710205PAJOW,Student,Teen,No,40.705896,-78.003616
19710210TXOAD,Student,Teen,No,32.7810789,-96.690261
19710225OHFRC,Student,Teen,No,41.4996574,-81.6936772
19710309AZROT,Student,Teen,No,32.3110186,-111.083003
19710405PAWIH,Student,Teen,No,40.2663107,-76.8861122
19710527MIBES,Student,Teen,No,41.9031963,-85.5356726
19710602NYEAE,Student,Teen,Yes,42.7689141,-78.6177611
19710820PAMOM,Security Guard,Adult,No,40.1484053,-79.8878254
19710909TXDUL,Student,Teen,No,33.5855677,-101.8470215
19710924NYMCB,Student,Teen,No,42.8867166,-78.8783922
19710928MNCEM,No Relation,Teen,No,44.9772995,-93.2654692
19710929VAPEP,Student,Teen,No,37.227928,-77.4019268
19711028MDCIB,Student,,No,39.2908816,-76.610759
19711029MDFOB,Former Student,Teen,No,39.2908816,-76.610759
19711029MDFRB,Student,Teen,No,39.2908816,-76.610759
19711029MDFRB,Student,Teen,No,39.2908816,-76.610759
19711103NMCAC,Former Student,Adult,Yes,32.4257456,-104.237612
19711108OKGRT,Other Staff,Adult,No,36.1563122,-95.9927516
19711124MDEDB,Student,Teen,No,39.2908816,-76.610759
19711206CALOL,Student,Teen,No,34.0536909,-118.242766
19711206CALOL,Student,Teen,No,34.0536909,-118.242766
19711213MDCAB,Student,Teen,No,39.2908816,-76.610759
19720105DCPAW,Teacher,Adult,No,38.8950368,-77.0365427
19720124OHSTS,Student,Teen,No,41.1596261,-81.4406258
19720126MDGWB,Student,Teen,No,39.2908816,-76.610759
19720126MDHAB,Student,Teen,No,39.2908816,-76.610759
19720214ILCAC,Student,,No,41.8755616,-87.6244212
19720215ILKEC,Nonstudent,,Yes,41.8755616,-87.6244212
19720228CAMAL,Student,Teen,No,34.0536909,-118.242766
19720313TXUNH,Student,Teen,No,29.8132853,-95.3346658
19720412LAEAG,Teacher,Adult,Yes,30.2385294,-90.9200987
19720504NVLIR,Teacher,Adult,No,39.5261206,-119.8126581
19720505INDEI,Student,Teen,No,39.7683331,-86.1583502
19720914TXFRH,Student,Teen,No,29.8132853,-95.3346658
19720915MISAS,Student,Teen,No,,
19720919TXCUH,Teacher,Adult,No,29.7589382,-95.3676974
19720921OHTHA,Former Student,Teen,No,41.083064,-81.518485
19721111CAJEL,Other Student,Teen,No,34.0536909,-118.242766
19721111CAJEL,Other Student,Teen,No,34.0536909,-118.242766
19721127MIPOP,Student,Teen,No,42.6389216,-83.2910468
19721129FLMIM,Unknown,Teen,No,,
19730105NCSOS,Student,Teen,No,35.7826363,-80.8872959
19730118CAJOL,Unknown,Teen,No,34.0536909,-118.242766
19730118CAJOL,Unknown,Teen,No,34.0536909,-118.242766
19730131NCCUB,Student,Teen,No,36.0956918,-79.4377991
19730212ALBOM,No Relation,Teen,No,,
19730226VAARR,Student,Teen,No,37.5535535,-77.4114918
19730405CALOL,Student,,No,34.0536909,-118.242766
19730501OHRAY,Student,Teen,No,41.1035786,-80.6520161
19730928CAWIL,Student,Teen,No,34.0536909,-118.242766
19731002ILELA,Student,Teen,Yes,38.78421,-89.96538
19731019MOBES,Student,Teen,No,,
19731023MOSUS,Unknown,Teen,No,38.6280278,-90.1910154
19731023MOSUS,Unknown,Teen,No,38.6280278,-90.1910154
19731023OHBAB,Student,Teen,No,41.012833,-81.6051221
19731024MNCEM,Student,Teen,No,44.9772995,-93.2654692
19731031MONOS,No Relation,Teen,No,38.6280278,-90.1910154
19731108ILWOC,Student,Teen,No,41.8755616,-87.6244212
19731109CALOL,Unknown,Teen,No,,
19731206CAFRL,Student,,No,34.0536909,-118.242766
19731213OHHUC,Student,Teen,No,39.1014537,-84.5124602
19740117ILBAC,Former Student,Teen,No,41.8755616,-87.6244212
19740122CALOL,No Relation,Teen,No,34.0536909,-118.242766
19740207CAJAO,No Relation,Adult,No,37.8044557,-122.271356
19740322INBRB,Student,Teen,No,38.8789426,-86.0419247
19740402CTSTB,Unknown,,No,,
19740510TNCHR,Student,Teen,No,36.407317,-83.0054423
19740519FLHIO,Intimate Relationship,Adult,No,28.5421109,-81.3790304
19740923CAJED,Student,Teen,No,37.6904826,-122.47267
19740923CAJED,Student,Teen,No,37.6904826,-122.47267
19740923CAJED,Student,Teen,No,37.6904826,-122.47267
19740925CASAL,Student,Teen,No,,
19741007LADEH,Student,Teen,No,29.9765931,-90.4089708
19741021MDDOB,No Relation,Teen,No,39.2908816,-76.610759
19741118SCCAC,No Relation,,No,32.76495449,-79.99217081
19741121ARBOL,Student,Teen,No,34.7465071,-92.2896267
19741125SCCAC,Student,Teen,No,32.76495449,-79.99217081
19741125SCCAC,Student,Teen,No,32.76495449,-79.99217081
19741218CAMAL,No Relation,Teen,No,34.0536909,-118.242766
19741230NYOLO,Student,Teen,No,42.0775022,-78.4298248
19750207NYBOM,Student,Teen,No,40.7492678,-73.6406845
19750224NJSTP,Former Student,Adult,No,39.7295581,-75.4679734
19750312TXJOH,Student,Teen,No,,
19750318MOSUS,Unknown,Teen,No,38.6280278,-90.1910154
19750321OHPAD,No Relation,Teen,No,39.7589478,-84.1916069
19750321VAFAR,No Relation,Teen,No,37.5535535,-77.4114918
19750515MOROS,Student,Teen,No,38.6280278,-90.1910154
19750527MIPID,Student,Child,No,42.3315509,-83.0466403
19750709ILDEC,Intimate Relationship,Adult,No,41.8755616,-87.6244212
19750711MOCES,Student,Teen,No,38.6280278,-90.1910154
19750911OKGRO,Student,Teen,No,35.4729886,-97.5170536
19751001NMHEA,Unknown,Adult,No,32.8423345,-104.4032963
19751024GAMUA,Student,Teen,No,33.7489924,-84.3902644
19751218CAORS,Student,Teen,No,33.7494951,-117.8732213
19760101AZCAP,Unknown,,No,,
19760123OHCOC,Student,Teen,No,39.9622601,-83.0007065
19760206FLESP,Unknown,,No,30.421309,-87.2169149
19760212MIMUD,Other Student,Teen,No,42.3315509,-83.0466403
19760212MIMUD,Other Student,Teen,No,42.3315509,-83.0466403
19760212MIMUD,Other Student,Teen,No,42.3315509,-83.0466403
19760212MIMUD,Other Student,Teen,No,42.3315509,-83.0466403
19760212MIMUD,Other Student,Teen,No,42.3315509,-83.0466403
19760212MIMUD,Other Student,Teen,No,42.3315509,-83.0466403
19760412TXODF,Student,Teen,No,32.753177,-97.3327459
19760513MOMAS,Student,Teen,No,38.6280278,-90.1910154
19760514FLPAW,Former Student,Teen,No,26.715364,-80.0532942
19760602MDMTC,Unknown,,No,,
19760920NCGUG,No Relation,Adult,Yes,36.0726355,-79.7919754
19761110MIBUD,Intimate Relationship,Adult,No,42.3315509,-83.0466403
19761210MOFRS,Student,Child,No,38.6280278,-90.1910154
19770113ILOLB,Student,Teen,No,41.6573014,-87.679871
19770209ILFEC,Student,Teen,No,41.8755616,-87.6244212
