Incident_ID,weapontype,City_Lat,City_Lon
19700105DCHIW,Handgun,38.8950368,-77.0365427
19700105DCSOW,Handgun,38.8950368,-77.0365427
19700105DCUNW,Handgun,38.8950368,-77.0365427
19700206OHJOC,Handgun,41.4996574,-81.6936772
19700323CADAL,Handgun,33.7690164,-118.191604
19700415ARPIP,Handgun,34.2157064,-92.0140402
19700422DEPIW,Handgun,39.7459468,-75.546589
19700508FLCAD,Handgun,26.4614625,-80.0728201
19700515UTBEO,Handgun,41.2230048,-111.9738429
19700828TXRIE,Handgun,31.7328638,-106.3728033
19700831FLALM,Rifle,25.7741728,-80.19362
19700914TNHAN,Rifle,36.095567,-86.8011251
19700924IDMEM,Handgun,43.6086295,-116.392326
19700928IACED,No Data,41.5235808,-90.5770967
19701005MIPOD,Handgun,42.3315509,-83.0466403
19701019TNBOM,Handgun,35.1185491,-89.904645
19701020TNWAN,Handgun,36.095567,-86.8011251
19701027OHAPM,Handgun,40.75839,-82.5154471
19701120ILHAC,Handgun,,
19701212WIXAA,Handgun,44.2496103,-88.433855
19710202PAMOP,Handgun,39.9527237,-75.1635262
19710205PAJOW,Handgun,40.705896,-78.003616
19710210TXOAD,Shotgun,32.7810789,-96.690261
19710225OHFRC,Rifle,41.4996574,-81.6936772
19710309AZROT,Handgun,32.3110186,-111.083003
19710405PAWIH,Handgun,40.2663107,-76.8861122
19710527MIBES,Handgun,41.9031963,-85.5356726
19710602NYEAE,Handgun,42.7689141,-78.6177611
19710820PAMOM,Handgun,40.1484053,-79.8878254
19710909TXDUL,Handgun,33.5855677,-101.8470215
19710924NYMCB,Handgun,42.8867166,-78.8783922
19710928MNCEM,No Data,44.9772995,-93.2654692
19710929VAPEP,Handgun,37.227928,-77.4019268
19711028MDCIB,Handgun,39.2908816,-76.610759
19711029MDFOB,Rifle,39.2908816,-76.610759
19711029MDFRB,Handgun,39.2908816,-76.610759
19711103NMCAC,Rifle,32.4257456,-104.237612
19711108OKGRT,Handgun,36.1563122,-95.9927516
19711124MDEDB,Handgun,39.2908816,-76.610759
19711206CALOL,Handgun,34.0536909,-118.242766
19711213MDCAB,Handgun,39.2908816,-76.610759
19720105DCPAW,Handgun,38.8950368,-77.0365427
19720124OHSTS,Handgun,41.1596261,-81.4406258
19720126MDGWB,Handgun,39.2908816,-76.610759
19720126MDHAB,Rifle,39.2908816,-76.610759
19720214ILCAC,Handgun,41.8755616,-87.6244212
19720215ILKEC,Handgun,41.8755616,-87.6244212
19720228CAMAL,Handgun,34.0536909,-118.242766
19720313TXUNH,Handgun,29.8132853,-95.3346658
